Date,HIGH_1,LOW_1,MID_PRICE,BID,OPEN_BID,ASK,OPEN_ASK,BID_LOW_1,BID_HIGH_1,ASK_LOW_1,ASK_HIGH_1
2025-11-17,4105.85,4006.3042,4044.605,4044.25,4080.7688,4044.96,4083.2688,4006.3042,4105.85,4007.35,4107.85
2025-11-18,4082.27,3997.5627,4067.875,4067.6,4044.25,4068.15,4044.96,3997.5627,4082.27,3998.42,4083.1
2025-11-19,4132.68,4054.49,4081.66,4080.66,4067.58,4082.66,4068.13,4054.49,4132.68,4055.97,4133.4
2025-11-20,4109.54,4038.29,4077.495,4076.99,4080.66,4078.0,4082.66,4038.29,4109.54,4039.16,4110.8
2025-11-21,4101.04,4022.09,4065.895,4065.39,4077.24,4066.4,4077.83,4022.09,4101.04,4023.3,4101.7
2025-11-24,4139.8,4039.44,4139.695,4139.19,4065.22,4140.2,4067.72,4039.44,4139.8,4040.62,4140.4614
2025-11-25,4159.09,4109.09,4131.15,4129.95,4139.38,4132.35,4139.94,4109.09,4159.09,4110.34,4159.8
2025-11-26,4173.2,4128.18,4164.595,4163.99,4129.95,4165.2,4132.35,4128.18,4173.2,4129.8,4174.2
2025-11-27,4168.2,4142.09,4157.57005,4157.27,4163.53,4157.8701,4165.53,4142.09,4168.2,4143.04,4169.8
2025-11-28,4230.89,4156.46,4230.625,4230.37,4157.27,4230.88,4157.87,4156.46,4230.89,4157.83,4232.1235
2025-12-01,4264.29,4204.89,4232.725,4232.45,4223.04,4233.0,4224.81,4204.89,4264.29,4206.84,4265.1973
2025-12-02,4235.39,4161.99,4208.14,4207.14,4232.43,4209.14,4233.0,4161.99,4235.39,4164.02,4237.1626
2025-12-03,4241.29,4193.9307,4206.215,4205.98,4207.14,4206.45,4209.14,4193.9307,4241.29,4194.84,4242.7
2025-12-04,4218.99,4173.79,4208.69,4207.69,4205.59,4209.69,4206.7,4173.79,4218.99,4175.42,4219.937
2025-12-05,4259.1,4191.4395,4197.13,4196.53,4207.69,4197.73,4209.69,4191.4395,4259.1,4192.46,4259.9912
2025-12-08,4218.71,4175.89,4189.045,4188.59,4196.39,4189.5,4197.99,4175.89,4218.71,4176.79,4219.9072
2025-12-09,4221.09,4169.5288,4209.54,4209.32,4188.78,4209.76,4189.23,4169.5288,4221.09,4170.47,4222.2583
2025-12-10,4238.49,4181.09,4228.545,4227.99,4209.34,4229.1,4209.78,4181.09,4238.49,4182.28,4239.7139
2025-12-11,4285.79,4203.49,4283.28,4283.0,4227.53,4283.56,4229.53,4203.49,4285.79,4204.46,4286.6992
2025-12-12,4353.04,4256.89,4302.43,4302.13,4282.98,4302.73,4283.54,4256.89,4353.04,4258.32,4354.4092
